"filename", "language", "HTML", "TypeScript", "SCSS", "comment", "blank", "total"
"h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit\main-dialog-task-details-and-edit.component.html", "HTML", 2, 0, 0, 0, 0, 2
"h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit\main-dialog-task-details-and-edit.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit\main-dialog-task-details-and-edit.component.spec.ts", "TypeScript", 0, 17, 0, 0, 5, 22
"h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit\main-dialog-task-details-and-edit.component.ts", "TypeScript", 0, 23, 0, 0, 6, 29
"h:\DA12\15_modul15\join2\src\app\main-header-profile-dialog\main-header-profile-dialog.component.html", "HTML", 4, 0, 0, 0, 0, 4
"h:\DA12\15_modul15\join2\src\app\main-header-profile-dialog\main-header-profile-dialog.component.scss", "SCSS", 0, 0, 24, 2, 6, 32
"h:\DA12\15_modul15\join2\src\app\main-header-profile-dialog\main-header-profile-dialog.component.spec.ts", "TypeScript", 0, 17, 0, 0, 5, 22
"h:\DA12\15_modul15\join2\src\app\main-header-profile-dialog\main-header-profile-dialog.component.ts", "TypeScript", 0, 32, 0, 2, 5, 39
"h:\DA12\15_modul15\join2\src\app\main-header\main-header.component.html", "HTML", 8, 0, 0, 0, 0, 8
"h:\DA12\15_modul15\join2\src\app\main-header\main-header.component.scss", "SCSS", 0, 0, 51, 1, 10, 62
"h:\DA12\15_modul15\join2\src\app\main-header\main-header.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"h:\DA12\15_modul15\join2\src\app\main-header\main-header.component.ts", "TypeScript", 0, 45, 0, 0, 7, 52
"h:\DA12\15_modul15\join2\src\app\main-summary\main-summary.component.html", "HTML", 74, 0, 0, 0, 6, 80
"h:\DA12\15_modul15\join2\src\app\main-summary\main-summary.component.scss", "SCSS", 0, 0, 509, 2, 115, 626
"h:\DA12\15_modul15\join2\src\app\main-summary\main-summary.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"h:\DA12\15_modul15\join2\src\app\main-summary\main-summary.component.ts", "TypeScript", 0, 61, 0, 0, 8, 69
"h:\DA12\15_modul15\join2\src\app\main\main.component.html", "HTML", 47, 0, 0, 3, 4, 54
"h:\DA12\15_modul15\join2\src\app\main\main.component.scss", "SCSS", 0, 0, 165, 0, 31, 196
"h:\DA12\15_modul15\join2\src\app\main\main.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"h:\DA12\15_modul15\join2\src\app\main\main.component.ts", "TypeScript", 0, 50, 0, 3, 9, 62
"h:\DA12\15_modul15\join2\src\app\services\auth.service.spec.ts", "TypeScript", 0, 12, 0, 0, 5, 17
"h:\DA12\15_modul15\join2\src\app\services\auth.service.ts", "TypeScript", 0, 14, 0, 0, 5, 19
"h:\DA12\15_modul15\join2\src\app\services\board-comm.service.spec.ts", "TypeScript", 0, 12, 0, 0, 5, 17
"h:\DA12\15_modul15\join2\src\app\services\board-comm.service.ts", "TypeScript", 0, 19, 0, 0, 12, 31
"h:\DA12\15_modul15\join2\src\app\services\main-communication.service.spec.ts", "TypeScript", 0, 12, 0, 0, 5, 17
"h:\DA12\15_modul15\join2\src\app\services\main-communication.service.ts", "TypeScript", 0, 29, 0, 2, 9, 40
"h:\DA12\15_modul15\join2\src\app\services\task-data.service.spec.ts", "TypeScript", 0, 12, 0, 0, 5, 17
"h:\DA12\15_modul15\join2\src\app\services\task-data.service.ts", "TypeScript", 0, 24, 0, 0, 6, 30
"h:\DA12\15_modul15\join2\src\app\services\task-details-comm.service.spec.ts", "TypeScript", 0, 12, 0, 0, 5, 17
"h:\DA12\15_modul15\join2\src\app\services\task-details-comm.service.ts", "TypeScript", 0, 16, 0, 0, 6, 22
"h:\DA12\15_modul15\join2\src\app\services\user-data.service.spec.ts", "TypeScript", 0, 12, 0, 0, 5, 17
"h:\DA12\15_modul15\join2\src\app\services\user-data.service.ts", "TypeScript", 0, 175, 0, 0, 176, 351
"h:\DA12\15_modul15\join2\src\app\shared\shared.module.ts", "TypeScript", 0, 9, 0, 0, 4, 13
"h:\DA12\15_modul15\join2\src\app\shared\validators\custom-validators.ts", "TypeScript", 0, 16, 0, 0, 3, 19
"Total", "-", 1459, 3148, 5407, 257, 2121, 12392
